,incl [deg],c,b,R^2
334,34.4,548.7870978,-0.849385805,0.996115946
335,34.5,546.9257999,-0.848902697,0.996124719
336,34.6,546.48005,-0.848743733,0.996145399
337,34.7,544.932437,-0.84836574,0.996163776
338,34.8,544.0645856,-0.848088126,0.996164289
339,34.9,547.3606519,-0.84889641,0.996223047
340,35,546.4802405,-0.848712781,0.996157567
341,35.1,539.550324,-0.847027122,0.995942115
342,35.2,541.3869207,-0.847498719,0.995897143
343,35.3,543.001809,-0.847859492,0.995888709
344,35.4,540.9818386,-0.847282202,0.99580973
345,35.5,539.867802,-0.847070047,0.995682572
346,35.6,537.2828392,-0.846399046,0.995656954
347,35.7,538.361113,-0.846739131,0.995632534
348,35.8,533.723008,-0.845574541,0.995603478
349,35.9,535.3695211,-0.846045979,0.995568318
350,36,533.4484918,-0.845558619,0.995585975
351,36.1,532.9752371,-0.845379973,0.995586917
352,36.2,535.1252278,-0.845895375,0.995657617
353,36.3,533.9627723,-0.845589353,0.995604218
354,36.4,532.8262897,-0.84533761,0.995464583
355,36.5,533.2511028,-0.845451547,0.995366467
356,36.6,527.8371805,-0.844055233,0.995143398
357,36.7,527.3472785,-0.844005612,0.994939929
358,36.8,525.3739075,-0.843521201,0.99492103
359,36.9,523.4081489,-0.84300069,0.994975504
360,37,523.1075411,-0.842937733,0.995010394
361,37.1,523.7668014,-0.843103166,0.99510096
362,37.2,522.3461607,-0.842662046,0.995134246
363,37.3,522.4568904,-0.842789674,0.995056316
364,37.4,520.2363127,-0.842179962,0.995060607
365,37.5,517.7575758,-0.841599693,0.994881819
366,37.6,516.2813505,-0.841216334,0.994820485
367,37.7,513.5290923,-0.840560168,0.994569208
368,37.8,517.3098334,-0.841564257,0.994552678
369,37.9,513.4418803,-0.840465005,0.994408291
370,38,517.393078,-0.841512793,0.994477099
371,38.1,518.5841148,-0.841751203,0.994527872
372,38.2,518.4173264,-0.841722495,0.994590002
373,38.3,511.926114,-0.840064577,0.994484727
374,38.4,512.2079498,-0.840120998,0.994575637
375,38.5,512.7438921,-0.840353581,0.994556639
376,38.6,511.6001944,-0.84021344,0.994360121
377,38.7,506.5519841,-0.838893139,0.994284814
378,38.8,501.7735827,-0.83757972,0.994209843
379,38.9,503.4449573,-0.838014153,0.994234028
380,39,504.0848377,-0.83812802,0.9942528
381,39.1,505.4037747,-0.838512446,0.994153529
382,39.2,506.9807607,-0.83886892,0.994138875
383,39.3,508.2934995,-0.839186385,0.994053441
384,39.4,507.8364339,-0.839152216,0.993797987
385,39.5,507.2623941,-0.839015058,0.993789554
386,39.6,503.189949,-0.837983329,0.993726062
387,39.7,500.2901234,-0.837360363,0.993613429
388,39.8,502.8649749,-0.838038,0.993797771
389,39.9,496.9025083,-0.836398763,0.993769619
390,40,497.7861999,-0.836603723,0.993899079
391,40.1,500.2786767,-0.837327942,0.994016993
392,40.2,502.0868084,-0.83782585,0.994033655
393,40.3,498.0461683,-0.836721016,0.993953061
394,40.4,498.6699579,-0.836886426,0.993998372
395,40.5,500.5399398,-0.837398091,0.993947709
396,40.6,499.5807594,-0.837224625,0.9937856
397,40.7,495.4647552,-0.836074457,0.993559935
398,40.8,495.4016531,-0.836129408,0.993332977
399,40.9,496.9481233,-0.836567265,0.9931602
400,41,499.0246082,-0.837097835,0.993110124
401,41.1,498.1987196,-0.836954914,0.993100134
402,41.2,493.3319738,-0.835696272,0.993126621
403,41.3,496.1346111,-0.836400471,0.993370708
404,41.4,494.3079039,-0.835931823,0.993462951
405,41.5,494.9951989,-0.836212051,0.993471995
406,41.6,494.7112618,-0.836090971,0.993623062
407,41.7,495.2368006,-0.836200977,0.993743353
408,41.8,494.4959171,-0.836021904,0.993778425
409,41.9,493.7744894,-0.835927863,0.993667981
410,42,492.9428076,-0.83572984,0.993616033
411,42.1,490.0918186,-0.835041736,0.993343057
412,42.2,489.9053725,-0.835035401,0.993213691
413,42.3,489.3015133,-0.834917335,0.993117781
414,42.4,492.5076166,-0.835736769,0.993092639
415,42.5,488.9300702,-0.834679402,0.992919157
416,42.6,488.1494366,-0.83458712,0.992510024
417,42.7,491.8894884,-0.835598767,0.992527528
418,42.8,494.7302749,-0.836397101,0.992551231
419,42.9,492.884559,-0.835891742,0.992779111
420,43,493.386733,-0.836005395,0.993014115
421,43.1,492.2747599,-0.83569205,0.99318752
422,43.2,489.1011388,-0.834985694,0.993155245
423,43.3,486.6253614,-0.83426204,0.993235216
424,43.4,485.1432796,-0.833953044,0.993227649
425,43.5,486.1722967,-0.834386136,0.993138169
426,43.6,483.3737164,-0.833622508,0.993127814
427,43.7,484.4207596,-0.834011402,0.993060321
428,43.8,486.2796962,-0.834558207,0.993051944
429,43.9,483.2188705,-0.833655917,0.993013015
430,44,485.6408494,-0.834363321,0.992980484
431,44.1,483.0964547,-0.833673807,0.992831243
432,44.2,488.657223,-0.835215283,0.992765348
433,44.3,485.8697931,-0.834505941,0.992521394
434,44.4,483.895942,-0.833885094,0.992457211
435,44.5,489.3901794,-0.83530132,0.992481572
436,44.6,487.1407229,-0.83473332,0.992266483
437,44.7,493.1651231,-0.836380542,0.992465275
438,44.8,484.7855405,-0.834244835,0.992314352
439,44.9,481.7758286,-0.833471729,0.992348869
440,45,478.8274878,-0.83272554,0.992362127
441,45.1,477.8723872,-0.832591508,0.99241862
442,45.2,474.2998437,-0.831619706,0.99242071
443,45.3,475.2691491,-0.831976284,0.992475276
444,45.4,473.6592173,-0.831626297,0.99250883
445,45.5,476.0011335,-0.832300265,0.992579802
446,45.6,474.6246445,-0.832033212,0.992528689
447,45.7,476.1413202,-0.832471849,0.992603705
448,45.8,475.5222378,-0.832319471,0.992711228
449,45.9,473.3022618,-0.831711838,0.992572437
450,46,476.5267952,-0.832546871,0.992740584
451,46.1,473.4447107,-0.831752438,0.992671172
452,46.2,474.1712234,-0.831871994,0.992683434
453,46.3,478.5505296,-0.833082058,0.992572479
454,46.4,471.5758689,-0.831195334,0.992172442
455,46.5,474.2414948,-0.832011225,0.991995499
456,46.6,473.4495676,-0.831796706,0.991574746
457,46.7,471.8594498,-0.831482511,0.991127645
458,46.8,473.4475161,-0.831997655,0.991057878
459,46.9,472.0627354,-0.83170036,0.991181506
460,47,472.7790962,-0.831956711,0.991293332
461,47.1,470.555392,-0.831474259,0.99150331
462,47.2,470.3947475,-0.831343221,0.991728828
463,47.3,469.0850131,-0.831095619,0.991624435
464,47.4,464.7095143,-0.830062807,0.991627337
465,47.5,466.7800579,-0.830615851,0.991960151
466,47.6,466.4496908,-0.830538615,0.992142803
467,47.7,468.558742,-0.831214813,0.992314754
468,47.8,466.4101327,-0.830594823,0.992477096
469,47.9,469.5519921,-0.831462053,0.992722427
470,48,469.911019,-0.831489334,0.992893231
471,48.1,467.7646189,-0.830851327,0.992895543
472,48.2,469.1148916,-0.831412328,0.99271457
473,48.3,469.1622495,-0.831561682,0.992616935
474,48.4,464.6476042,-0.830321765,0.992418837
475,48.5,466.5594629,-0.830948056,0.992203689
476,48.6,461.6433819,-0.82959053,0.991752065
477,48.7,465.4780257,-0.830843905,0.991508887
478,48.8,465.5793506,-0.830934857,0.991123732
479,48.9,462.5636201,-0.830021537,0.990724251
480,49,464.1080551,-0.83055728,0.990326532
481,49.1,465.418617,-0.830961789,0.990072998
482,49.2,466.2725904,-0.831210079,0.990017548
483,49.3,464.7063511,-0.830880042,0.990012512
484,49.4,466.6041436,-0.831496022,0.990446765
485,49.5,462.5259648,-0.830502571,0.9905176
486,49.6,462.4286257,-0.830419811,0.99085968
487,49.7,467.8726169,-0.831995786,0.991483364
488,49.8,465.0165383,-0.831231384,0.99158503
489,49.9,462.8072577,-0.830620525,0.991890252
490,50,463.9894132,-0.830967518,0.992256091
491,50.1,466.2249615,-0.831711039,0.992468963
492,50.2,457.1490563,-0.829244422,0.992312072
493,50.3,458.0998046,-0.829459923,0.992421096
494,50.4,457.2844833,-0.829330447,0.992601841
495,50.5,458.1741445,-0.829804032,0.992581591
496,50.6,457.677438,-0.829730675,0.99241335
497,50.7,453.4492406,-0.82857821,0.992175222
498,50.8,451.9134739,-0.828245844,0.991799579
499,50.9,449.6601505,-0.82768658,0.991432665
500,51,452.062913,-0.828407625,0.991344009
501,51.1,447.8063455,-0.827173916,0.990950174
502,51.2,448.8474748,-0.827734494,0.990610858
503,51.3,451.3770619,-0.82852564,0.990055809
504,51.4,451.8997365,-0.828688588,0.989788117
505,51.5,446.9674518,-0.827358747,0.989308631
506,51.6,451.6406085,-0.828670893,0.989102728
507,51.7,459.3564984,-0.830790062,0.989092342
508,51.8,455.1323935,-0.829686878,0.988838136
509,51.9,458.9580058,-0.830911146,0.988811925
510,52,457.5155399,-0.830389193,0.989361126
511,52.1,454.7144679,-0.829580534,0.989746989
512,52.2,455.4396736,-0.829819774,0.990313564
513,52.3,459.8208173,-0.831060421,0.99105496
514,52.4,455.2545251,-0.829952401,0.990878432
515,52.5,454.4425675,-0.829783016,0.991310723
516,52.6,457.3466129,-0.830751386,0.991645415
517,52.7,448.2552934,-0.828193528,0.991782554
518,52.8,450.8261752,-0.828989678,0.991998375
519,52.9,450.5599248,-0.829031669,0.991997672
520,53,449.5876208,-0.828933494,0.992234979
521,53.1,441.0044067,-0.826682536,0.991980536
522,53.2,444.1856152,-0.827665243,0.991949265
